1	<UNK>
2	，
3	的
4	。
5	是
6	了
7	start
8	end
9	有
10	这个
11	我
12	你
13	就
14	问题
15	可以
16	不
17	没有
18	在
19	好
20	你好
21	也
22	都
23	需要
24	检查
25	一下
26	故障
27	就是
28	更换
29	发动机
30	会
31	如果
32	换
33	情况
34	什么
35	和
36	正常
37	那
38	用
39	说
40	机油
41	您
42	没
43	看
44	车
45	去
46	还是
47	对
48	谢谢
49	的话
50	要
51	把
52	这种
53	建议
54	电脑
55	可能
56	一个
57	到
58	不会
59	检查一下
60	应该
61	传感器
62	有没有
63	清洗
64	这
65	是否
66	变速箱
67	下
68	还有
69	现在
70	或者
71	时候
72	一般
73	节气门
74	是不是
75	看看
76	不是
77	过
78	能
79	声音
80	影响
81	上
82	出现
83	那个
84	4s店
85	大
86	车辆
87	还
88	这样
89	多少
90	给
91	码
92	哦
93	怎么
94	左右
95	很
96	再
97	做
98	油
99	火花塞
100	后
101	位置
102	启动
103	线路
104	然后
105	比较
106	先
107	维修
108	导致
109	里面
110	车子
111	师傅
112	一样
113	您好
114	压力
115	他
116	不好
117	才
118	但是
119	知道
120	根据
121	公里
122	跑
123	开关
124	使用
125	修理厂
126	轮胎
127	拆
128	保养
129	多
130	造成
131	不能
132	电瓶
133	坏
134	点火
135	进行
136	开
137	地方
138	汽油
139	系统
140	时
141	原因
142	感觉
143	检测
144	行驶
145	空调
146	刹车
147	插头
148	怠速
149	上面
150	试试
151	直接
152	个
153	不行
154	匹配
155	控制
156	新
157	关系
158	两个
159	1
160	找
161	工作
162	出来
163	肯定
164	喷油嘴
165	线
166	以后
167	现象
168	钥匙
169	因为
170	着
171	2
172	主要
173	大概
174	高
175	跟
176	钱
177	得
178	不用
179	缸
180	一点
181	让
182	其他
183	又
184	加
185	打开
186	自己
187	损坏
188	具体
189	等
190	处理
191	灯
192	抖动
193	离合器
194	螺丝
195	所以
196	最好
197	来
198	气门
199	他们
200	积碳
201	价格
202	模块
203	0
204	水温
205	买
206	解决
207	皮带
208	5
209	从
210	么
211	之前
212	时间
213	一次
214	只有
215	没事
216	仪表
217	确定
218	描述
219	显示
220	东西
221	哪里
222	只能
223	数据
224	原厂
225	起来
226	4s
227	只要
228	万公里
229	我们
230	重新
231	咨询
232	安装
233	它
234	信号
235	档
236	有点
237	一直
238	空气
239	拆下来
240	为
241	油耗
242	4
243	进气
244	3
245	大师
246	异响
247	测量
248	熄火
249	不了
250	加油
251	点
252	那么
253	问
254	之后
255	这是
256	磨损
257	保险
258	线圈
259	明天
260	防冻液
261	不要
262	想
263	后面
264	底盘
265	呀
266	这款
267	小
268	下面
269	读取
270	电磁阀
271	汽车
272	电机
273	轴承
274	只是
275	踩
276	滤芯
277	转
278	店
279	刹车片
280	方向盘
281	已经
282	凸轮轴
283	挂
284	内部
285	水箱
286	继电器
287	解答
288	定位
289	油泵
290	保险丝
291	打
292	关注
293	动力
294	响
295	三元催化
296	意思
297	外面
298	这些
299	泵
300	按
301	温度
302	修
303	曲轴
304	容易
305	燃油
306	方向
307	氧
308	或
309	哪个
310	年
311	漏气
312	电压
313	质量
314	间隙
315	请问
316	转速
317	正时
318	引起
319	出
320	以前
321	首先
322	配件
323	自动
324	助力
325	新车
326	亮
327	油门
328	正
329	但
330	与
331	200
332	门
333	太
334	高速
335	一定
336	分析
337	本身
